station,valid,tmpf,metar
EGLC,2026-04-13 18:20,51.80,EGLC 131820Z AUTO 08005KT 9999 FEW036/// BKN047/// //////CB 11/05 Q1014
EGLC,2026-04-13 18:50,50.00,EGLC 131850Z AUTO 11007KT 080V140 9999 SCT032/// //////CB 10/06 Q1014
EGLC,2026-04-13 19:20,48.20,EGLC 131920Z AUTO 12007KT 9999 //////CB 09/06 Q1015
EGLC,2026-04-13 19:50,48.20,EGLC 131950Z AUTO 13005KT 110V180 9999 FEW043/// //////TCU 09/07 Q1015
EGLC,2026-04-13 20:20,48.20,EGLC 132020Z AUTO 12006KT 100V170 9999 //////TCU 09/06 Q1015
EGLC,2026-04-13 20:50,48.20,EGLC 132050Z AUTO 12004KT 100V170 9999 SCT038/// //////TCU 09/06 Q1015
EGLC,2026-04-13 21:20,48.20,EGLC 132120Z AUTO 17004KT 110V210 9999 //////TCU 09/05 Q1015
EGLC,2026-04-13 21:50,48.20,EGLC 132150Z AUTO 19005KT 150V220 9999 NCD 09/05 Q1016
EGLC,2026-04-13 22:20,46.40,EGLC 132220Z AUTO VRB02KT 9999 NCD 08/05 Q1016
EGLC,2026-04-13 22:50,46.40,EGLC 132250Z AUTO 22004KT 9999 NCD 08/05 Q1016
EGLC,2026-04-13 23:20,44.60,EGLC 132320Z AUTO 22004KT 9999 NCD 07/05 Q1016
EGLC,2026-04-13 23:50,44.60,EGLC 132350Z AUTO 21005KT 9999 NCD 07/05 Q1016
EGLC,2026-04-14 00:20,44.60,EGLC 140020Z AUTO 21005KT 9999 NCD 07/04 Q1016
EGLC,2026-04-14 00:50,44.60,EGLC 140050Z AUTO 21005KT 9999 NCD 07/04 Q1016
EGLC,2026-04-14 01:20,44.60,EGLC 140120Z AUTO 22004KT 9999 NCD 07/04 Q1016
EGLC,2026-04-14 01:50,42.80,EGLC 140150Z AUTO 21004KT 9999 NCD 06/04 Q1016
EGLC,2026-04-14 02:20,42.80,EGLC 140220Z AUTO 22003KT 9999 NCD 06/04 Q1016
EGLC,2026-04-14 02:50,42.80,EGLC 140250Z AUTO 22003KT 9999 NCD 06/04 Q1016
EGLC,2026-04-14 03:20,42.80,EGLC 140320Z AUTO 20003KT 160V230 9999 NCD 06/04 Q1017
EGLC,2026-04-14 03:50,42.80,EGLC 140350Z AUTO VRB02KT 9999 NCD 06/04 Q1017
EGLC,2026-04-14 04:20,42.80,EGLC 140420Z AUTO VRB02KT 9999 NCD 06/04 Q1017
EGLC,2026-04-14 04:50,42.80,EGLC 140450Z AUTO 19003KT 9999 NCD 06/04 Q1017
EGLC,2026-04-14 05:20,41.00,EGLC 140520Z AUTO 08003KT 9999 NCD 05/04 Q1017
EGLC,2026-04-14 05:50,42.80,EGLC 140550Z AUTO VRB02KT 9999 NCD 06/05 Q1017
EGLC,2026-04-14 06:20,42.80,EGLC 140620Z AUTO 08004KT 040V130 9999 NCD 06/05 Q1018
EGLC,2026-04-14 06:50,46.40,EGLC 140650Z AUTO 07004KT 9999 NCD 08/05 Q1018
EGLC,2026-04-14 07:20,48.20,EGLC 140720Z AUTO 05004KT 9999 NCD 09/06 Q1018
EGLC,2026-04-14 07:50,50.00,EGLC 140750Z AUTO VRB05KT 9999 NCD 10/06 Q1018
EGLC,2026-04-14 08:20,53.60,EGLC 140820Z AUTO 16005KT 100V210 9999 NCD 12/07 Q1018
EGLC,2026-04-14 08:50,55.40,EGLC 140850Z AUTO 17006KT 080V250 9999 NCD 13/06 Q1018
EGLC,2026-04-14 09:20,55.40,EGLC 140920Z AUTO 17006KT 090V260 9999 NCD 13/05 Q1018
EGLC,2026-04-14 09:50,57.20,EGLC 140950Z AUTO 18009KT 130V230 9999 NCD 14/05 Q1018
EGLC,2026-04-14 10:20,57.20,EGLC 141020Z AUTO 18009KT 120V220 9999 FEW037 14/05 Q1018
EGLC,2026-04-14 10:50,59.00,EGLC 141050Z AUTO 18011KT 150V230 9999 FEW042 15/04 Q1018
EGLC,2026-04-14 11:20,59.00,EGLC 141120Z AUTO 17010G22KT 110V210 9999 FEW046 15/04 Q1018
EGLC,2026-04-14 11:50,60.80,EGLC 141150Z AUTO 19011KT 160V230 9999 FEW049 16/04 Q1018
EGLC,2026-04-14 12:20,60.80,EGLC 141220Z AUTO 20011KT 160V240 9999 FEW048 16/04 Q1018
EGLC,2026-04-14 12:50,60.80,EGLC 141250Z AUTO 20012KT 150V240 9999 NCD 16/04 Q1018
EGLC,2026-04-14 13:20,59.00,EGLC 141320Z AUTO 19011KT 150V220 9999 NCD 15/04 Q1018
EGLC,2026-04-14 13:50,60.80,EGLC 141350Z AUTO 18012KT 120V210 9999 NCD 16/03 Q1018
EGLC,2026-04-14 14:20,62.60,EGLC 141420Z AUTO 18012KT 150V210 9999 NCD 17/03 Q1018
EGLC,2026-04-14 14:50,60.80,EGLC 141450Z AUTO 18010KT 9999 NCD 16/03 Q1018
EGLC,2026-04-14 15:20,60.80,EGLC 141520Z AUTO 18011KT 150V210 9999 SCT049 16/04 Q1018
EGLC,2026-04-14 15:50,59.00,EGLC 141550Z AUTO 19010KT 160V230 9999 BKN044 15/04 Q1017
EGLC,2026-04-14 16:20,59.00,EGLC 141620Z AUTO 18011KT 150V220 9999 BKN041 15/04 Q1018
EGLC,2026-04-14 16:50,59.00,EGLC 141650Z AUTO 18011KT 150V220 9999 BKN039 OVC045 15/05 Q1018
EGLC,2026-04-14 17:20,59.00,EGLC 141720Z AUTO 20009KT 160V260 9999 BKN037 OVC048 15/05 Q1018
EGLC,2026-04-14 17:50,59.00,EGLC 141750Z AUTO 21011KT 170V240 9999 OVC030 15/06 Q1018
EGLC,2026-04-14 18:20,59.00,EGLC 141820Z AUTO 18009KT 130V230 9999 BKN031 15/05 Q1018
EGLC,2026-04-14 18:50,57.20,EGLC 141850Z AUTO 18010KT 130V210 9999 BKN037 14/06 Q1018
EGLC,2026-04-14 19:20,57.20,EGLC 141920Z AUTO 17007KT 120V210 9999 BKN041 14/06 Q1018
EGLC,2026-04-14 19:50,57.20,EGLC 141950Z AUTO 15007KT 9999 BKN034 14/06 Q1018
EGLC,2026-04-14 20:20,57.20,EGLC 142020Z AUTO 15007KT 120V190 9999 OVC034 14/06 Q1018
EGLC,2026-04-14 20:50,57.20,EGLC 142050Z AUTO 14008KT 9999 OVC032 14/06 Q1018
EGLC,2026-04-14 21:20,57.20,EGLC 142120Z AUTO 15007KT 130V200 9999 OVC032 14/05 Q1018
EGLC,2026-04-14 21:50,57.20,EGLC 142150Z AUTO 16007KT 130V200 9999 BKN030 14/06 Q1018
EGLC,2026-04-14 22:20,57.20,EGLC 142220Z AUTO 15007KT 120V190 9999 SCT031 OVC041 14/06 Q1018
EGLC,2026-04-14 22:50,57.20,EGLC 142250Z AUTO 17006KT 140V220 9999 OVC041 14/07 Q1018
EGLC,2026-04-14 23:20,57.20,EGLC 142320Z AUTO 16006KT 120V200 9999 SCT026 OVC039 14/07 Q1018
EGLC,2026-04-14 23:50,57.20,EGLC 142350Z AUTO 17006KT 110V200 9999 SCT024 BKN042 OVC049 14/08 Q1018
EGLC,2026-04-15 00:20,57.20,EGLC 150020Z AUTO 18007KT 9999 BKN021 OVC046 14/09 Q1018
EGLC,2026-04-15 00:50,57.20,EGLC 150050Z AUTO 18007KT 140V220 9999 BKN019 OVC024 14/09 Q1017
EGLC,2026-04-15 01:20,57.20,EGLC 150120Z AUTO 18008KT 160V220 9999 OVC018 14/10 Q1017
EGLC,2026-04-15 01:50,57.20,EGLC 150150Z AUTO 18007KT 150V220 9999 OVC017 14/10 Q1017
EGLC,2026-04-15 02:20,57.20,EGLC 150220Z AUTO 19007KT 150V230 9999 -RA BKN015 OVC020 14/10 Q1017
EGLC,2026-04-15 02:50,57.20,EGLC 150250Z AUTO 19006KT 160V220 9999 OVC014 14/10 Q1016
EGLC,2026-04-15 03:20,55.40,EGLC 150320Z AUTO 19006KT 150V240 9999 OVC013 13/10 Q1016
EGLC,2026-04-15 03:50,55.40,EGLC 150350Z AUTO 18006KT 160V220 9999 OVC012 13/11 Q1016
EGLC,2026-04-15 04:20,55.40,EGLC 150420Z AUTO 19006KT 130V230 9999 OVC011 13/11 Q1016
EGLC,2026-04-15 04:50,55.40,EGLC 150450Z AUTO 18007KT 150V220 9999 OVC010 13/11 Q1016
EGLC,2026-04-15 05:20,55.40,EGLC 150520Z AUTO 18006KT 150V220 9999 OVC010 13/11 Q1016
EGLC,2026-04-15 05:50,55.40,EGLC 150550Z AUTO 17006KT 140V210 9999 OVC010 13/11 Q1016
EGLC,2026-04-15 06:20,55.40,EGLC 150620Z AUTO 17007KT 140V200 9999 OVC010 13/11 Q1016
EGLC,2026-04-15 06:50,57.20,EGLC 150650Z AUTO 18008KT 140V200 9999 BKN011 BKN019 BKN029 14/11 Q1016
EGLC,2026-04-15 07:20,57.20,EGLC 150720Z AUTO 19008KT 150V230 9999 BKN010 OVC022 14/11 Q1016
EGLC,2026-04-15 07:50,57.20,EGLC 150750Z AUTO 20006KT 170V260 9999 BKN010 OVC016 14/11 Q1016
EGLC,2026-04-15 08:20,57.20,EGLC 150820Z AUTO 21009KT 160V240 9999 BKN011 OVC015 14/11 Q1016
EGLC,2026-04-15 08:50,59.00,EGLC 150850Z AUTO 18007KT 150V240 9999 BKN012 15/11 Q1016
EGLC,2026-04-15 09:20,59.00,EGLC 150920Z AUTO 20007KT 150V240 9999 BKN014 OVC023 15/11 Q1016
EGLC,2026-04-15 09:50,59.00,EGLC 150950Z AUTO 20008KT 140V230 9999 BKN015 OVC019 15/11 Q1015
EGLC,2026-04-15 10:20,59.00,EGLC 151020Z AUTO 21010KT 170V240 9999 BKN017 OVC025 15/11 Q1015
EGLC,2026-04-15 10:50,60.80,EGLC 151050Z AUTO 20009KT 160V250 9999 BKN017 16/11 Q1015
EGLC,2026-04-15 11:20,60.80,EGLC 151120Z AUTO 19011KT 150V230 9999 BKN015/// BKN021/// //////TCU 16/11 Q1015
EGLC,2026-04-15 11:50,59.00,EGLC 151150Z AUTO 19009KT 130V240 9999 -RA BKN013 BKN021 15/13 Q1015
EGLC,2026-04-15 12:20,59.00,EGLC 151220Z AUTO 20009KT 160V240 9999 BKN013 BKN018 15/12 Q1015 RERA REDZ
EGLC,2026-04-15 12:50,60.80,EGLC 151250Z AUTO 19011KT 150V230 9999 SCT019 BKN024 BKN033 16/11 Q1015
EGLC,2026-04-15 13:20,62.60,EGLC 151320Z AUTO 20014KT 170V240 9999 FEW024 SCT028 BKN033 17/10 Q1015
EGLC,2026-04-15 13:50,62.60,EGLC 151350Z AUTO 22015KT 190V260 9999 FEW029 BKN034 17/09 Q1015
EGLC,2026-04-15 14:20,62.60,EGLC 151420Z AUTO 22017KT 180V250 9999 SCT033 BKN046 17/09 Q1015
EGLC,2026-04-15 14:50,62.60,EGLC 151450Z AUTO 22018KT 9999 SCT037 BKN049 17/08 Q1014
EGLC,2026-04-15 15:20,60.80,EGLC 151520Z AUTO 21015KT 160V240 9999 BKN036 16/08 Q1014
EGLC,2026-04-15 15:50,60.80,EGLC 151550Z AUTO 22014G25KT 180V260 9999 BKN032 BKN039 BKN049 16/09 Q1014
EGLC,2026-04-15 16:20,59.00,EGLC 151620Z AUTO 22015G25KT 180V250 9999 BKN023 OVC038 15/10 Q1014
EGLC,2026-04-15 16:50,59.00,EGLC 151650Z AUTO 21013KT 170V240 9999 BKN018 BKN023 15/10 Q1015
EGLC,2026-04-15 17:20,59.00,EGLC 151720Z AUTO 22012G23KT 190V250 9999 SCT016 BKN024 BKN033 15/10 Q1015
EGLC,2026-04-15 17:50,59.00,EGLC 151750Z AUTO 22011KT 9999 SCT024 SCT030 15/09 Q1015
EGLC,2026-04-15 18:20,57.20,EGLC 151820Z AUTO 22012KT 9999 FEW031 14/08 Q1015
EGLC,2026-04-15 18:50,57.20,EGLC 151850Z AUTO 23013KT 9999 FEW032 14/08 Q1015
EGLC,2026-04-15 19:20,55.40,EGLC 151920Z AUTO 23010KT 190V260 9999 NCD 13/08 Q1016
EGLC,2026-04-15 19:50,55.40,EGLC 151950Z AUTO 22011KT 190V260 9999 NCD 13/07 Q1016
EGLC,2026-04-15 20:20,53.60,EGLC 152020Z AUTO 21010KT 170V240 9999 NCD 12/07 Q1016
EGLC,2026-04-15 20:50,53.60,EGLC 152050Z AUTO 22010KT 9999 NCD 12/07 Q1016
EGLC,2026-04-15 21:20,53.60,EGLC 152120Z AUTO 22010KT 9999 NCD 12/07 Q1017
EGLC,2026-04-15 21:50,51.80,EGLC 152150Z AUTO 22008KT 9999 NCD 11/07 Q1017
EGLC,2026-04-15 22:20,51.80,EGLC 152220Z AUTO 23008KT 9999 NCD 11/08 Q1017
EGLC,2026-04-15 22:50,51.80,EGLC 152250Z AUTO 23007KT 200V260 9999 NCD 11/07 Q1017
EGLC,2026-04-15 23:20,51.80,EGLC 152320Z AUTO 22008KT 9999 NCD 11/07 Q1017
EGLC,2026-04-15 23:50,51.80,EGLC 152350Z AUTO 22007KT 9999 NCD 11/08 Q1017
EGLC,2026-04-16 00:20,51.80,EGLC 160020Z AUTO 22007KT 9999 NCD 11/08 Q1017
EGLC,2026-04-16 00:50,51.80,EGLC 160050Z AUTO 22008KT 9999 NCD 11/08 Q1017
EGLC,2026-04-16 01:20,51.80,EGLC 160120Z AUTO 22009KT 190V250 9999 NCD 11/08 Q1017
EGLC,2026-04-16 01:50,51.80,EGLC 160150Z AUTO 22008KT 9999 NCD 11/08 Q1017
EGLC,2026-04-16 02:20,51.80,EGLC 160220Z AUTO 22008KT 190V260 9999 NCD 11/08 Q1017
EGLC,2026-04-16 02:50,51.80,EGLC 160250Z AUTO 23008KT 200V260 9999 NCD 11/08 Q1017
EGLC,2026-04-16 03:20,51.80,EGLC 160320Z AUTO 22010KT 9999 NCD 11/08 Q1017
EGLC,2026-04-16 03:50,51.80,EGLC 160350Z AUTO 22008KT 9999 NCD 11/08 Q1017
EGLC,2026-04-16 04:20,51.80,EGLC 160420Z AUTO 22008KT 170V240 9999 BKN048 11/08 Q1017
EGLC,2026-04-16 04:50,51.80,EGLC 160450Z AUTO 22009KT 190V250 9999 OVC047 11/08 Q1017
EGLC,2026-04-16 05:20,51.80,EGLC 160520Z AUTO 21010KT 180V240 9999 SCT034 BKN040 11/08 Q1017
EGLC,2026-04-16 05:50,53.60,EGLC 160550Z AUTO 22010KT 190V250 9999 -RA SCT027 BKN034 12/08 Q1018
EGLC,2026-04-16 06:20,53.60,EGLC 160620Z AUTO 22009KT 9999 SCT029 12/08 Q1018
EGLC,2026-04-16 06:50,53.60,EGLC 160650Z AUTO 22009KT 9999 NCD 12/09 Q1018
EGLC,2026-04-16 07:20,55.40,EGLC 160720Z AUTO 22009KT 170V240 9999 NCD 13/09 Q1018
EGLC,2026-04-16 07:50,55.40,EGLC 160750Z AUTO 23010KT 200V260 9999 BKN016 13/09 Q1018
EGLC,2026-04-16 08:20,57.20,EGLC 160820Z AUTO 24010KT 9999 BKN019 BKN048 14/09 Q1018
EGLC,2026-04-16 08:50,59.00,EGLC 160850Z AUTO 24011KT 200V270 9999 BKN021 BKN028 BKN048 15/09 Q1019
EGLC,2026-04-16 09:20,57.20,EGLC 160920Z AUTO 24012KT 9999 SCT018/// BKN024/// BKN043/// //////TCU 14/09 Q1019
EGLC,2026-04-16 09:50,60.80,EGLC 160950Z AUTO 23015KT 200V270 9999 BKN025 16/08 Q1019
EGLC,2026-04-16 10:20,59.00,EGLC 161020Z AUTO 27010KT 9999 BKN030 BKN036 15/09 Q1019
EGLC,2026-04-16 10:50,59.00,EGLC 161050Z AUTO 27009KT 9999 BKN029 15/08 Q1019
EGLC,2026-04-16 11:20,60.80,EGLC 161120Z AUTO 24011KT 9999 SCT036 BKN042 16/07 Q1019
EGLC,2026-04-16 11:50,62.60,EGLC 161150Z AUTO 24008KT 200V280 9999 FEW038 17/07 Q1019
EGLC,2026-04-16 12:20,64.40,EGLC 161220Z AUTO 25010KT 180V280 9999 SCT042 18/07 Q1019
EGLC,2026-04-16 12:50,62.60,EGLC 161250Z AUTO 26008KT 230V290 9999 BKN041 17/07 Q1019
EGLC,2026-04-16 13:20,62.60,EGLC 161320Z AUTO 24008KT 190V280 9999 SCT041 SCT048 17/07 Q1019
EGLC,2026-04-16 13:50,62.60,EGLC 161350Z AUTO 21009KT 170V240 9999 SCT042 17/08 Q1019
EGLC,2026-04-16 14:20,62.60,EGLC 161420Z AUTO 23010KT 200V260 9999 SCT039 17/07 Q1019
EGLC,2026-04-16 14:50,62.60,EGLC 161450Z AUTO 25010KT 9999 SCT040 SCT048 17/08 Q1019
EGLC,2026-04-16 15:20,62.60,EGLC 161520Z AUTO 22010KT 190V250 9999 SCT042 17/07 Q1019
EGLC,2026-04-16 15:50,64.40,EGLC 161550Z AUTO 23010KT 180V260 9999 BKN040 18/08 Q1019
EGLC,2026-04-16 16:20,62.60,EGLC 161620Z AUTO 20009KT 160V250 9999 BKN038 17/08 Q1019
EGLC,2026-04-16 16:50,62.60,EGLC 161650Z AUTO 22013KT 9999 SCT038 BKN046 17/07 Q1019
EGLC,2026-04-16 17:20,60.80,EGLC 161720Z AUTO 22011KT 170V240 9999 NCD 16/08 Q1019
EGLC,2026-04-16 17:50,60.80,EGLC 161750Z AUTO 22011KT 180V250 9999 NCD 16/08 Q1019
EGLC,2026-04-16 18:20,59.00,EGLC 161820Z AUTO 22011KT 9999 NCD 15/08 Q1019
EGLC,2026-04-16 18:50,57.20,EGLC 161850Z AUTO 20008KT 150V240 9999 NCD 14/08 Q1020
EGLC,2026-04-16 19:20,57.20,EGLC 161920Z AUTO 21008KT 160V250 9999 NCD 14/08 Q1020
EGLC,2026-04-16 19:50,57.20,EGLC 161950Z AUTO 21007KT 170V240 9999 NCD 14/08 Q1020
EGLC,2026-04-16 20:20,55.40,EGLC 162020Z AUTO 22008KT 180V250 9999 NCD 13/08 Q1020
EGLC,2026-04-16 20:50,55.40,EGLC 162050Z AUTO 21006KT 170V250 9999 NCD 13/09 Q1020
EGLC,2026-04-16 21:20,55.40,EGLC 162120Z AUTO 21005KT 170V240 9999 NCD 13/09 Q1020
EGLC,2026-04-16 21:50,53.60,EGLC 162150Z AUTO 21006KT 170V240 9999 NCD 12/09 Q1020
EGLC,2026-04-16 22:20,53.60,EGLC 162220Z AUTO 21005KT 160V240 9999 NCD 12/09 Q1020
EGLC,2026-04-16 22:50,53.60,EGLC 162250Z AUTO 22005KT 9999 NCD 12/08 Q1020
EGLC,2026-04-16 23:20,51.80,EGLC 162320Z AUTO 23005KT 190V250 9999 NCD 11/08 Q1020
EGLC,2026-04-16 23:50,51.80,EGLC 162350Z AUTO 22006KT 9999 NCD 11/08 Q1020
EGLC,2026-04-17 00:20,51.80,EGLC 170020Z AUTO 19004KT 9999 SCT049 11/08 Q1020
EGLC,2026-04-17 00:50,51.80,EGLC 170050Z AUTO 19004KT 160V230 9999 SCT049 11/08 Q1020
EGLC,2026-04-17 01:20,53.60,EGLC 170120Z AUTO 20004KT 150V260 9999 NCD 12/08 Q1020
EGLC,2026-04-17 01:50,53.60,EGLC 170150Z AUTO 22004KT 170V250 9999 BKN046 12/08 Q1020
EGLC,2026-04-17 02:20,53.60,EGLC 170220Z AUTO 22003KT 160V260 9999 BKN039 BKN049 12/08 Q1020
EGLC,2026-04-17 02:50,53.60,EGLC 170250Z AUTO 19005KT 150V250 9999 -RA BKN040 12/09 Q1020
EGLC,2026-04-17 03:20,51.80,EGLC 170320Z AUTO 19005KT 9999 -RA FEW028 OVC033 11/09 Q1020
EGLC,2026-04-17 03:50,51.80,EGLC 170350Z AUTO 21003KT 170V250 9999 -RA BKN038 11/09 Q1020
EGLC,2026-04-17 04:20,53.60,EGLC 170420Z AUTO 21003KT 160V250 9999 FEW039 BKN046 12/09 Q1019
EGLC,2026-04-17 04:50,53.60,EGLC 170450Z AUTO VRB02KT 9999 BKN041 12/09 Q1019
EGLC,2026-04-17 05:20,53.60,EGLC 170520Z AUTO 21003KT 150V280 9999 BKN042 OVC049 12/09 Q1019
EGLC,2026-04-17 05:50,53.60,EGLC 170550Z AUTO 20004KT 160V300 9999 BKN045 12/09 Q1019
EGLC,2026-04-17 06:20,53.60,EGLC 170620Z AUTO 21004KT 160V240 9999 BKN049 12/09 Q1020
EGLC,2026-04-17 06:50,55.40,EGLC 170650Z AUTO 22004KT 170V270 9999 NCD 13/09 Q1020
EGLC,2026-04-17 07:20,55.40,EGLC 170720Z AUTO 22006KT 9999 NCD 13/09 Q1020
EGLC,2026-04-17 07:50,57.20,EGLC 170750Z AUTO 22008KT 180V250 9999 NCD 14/09 Q1019
EGLC,2026-04-17 08:20,57.20,EGLC 170820Z AUTO 22007KT 180V260 9999 NCD 14/09 Q1020
EGLC,2026-04-17 08:50,59.00,EGLC 170850Z AUTO 21009KT 180V240 9999 FEW027 15/09 Q1020
EGLC,2026-04-17 09:20,59.00,EGLC 170920Z AUTO 22010KT 180V250 9999 FEW025 15/08 Q1020
EGLC,2026-04-17 09:50,59.00,EGLC 170950Z AUTO 22009KT 180V270 9999 FEW027 15/08 Q1020
EGLC,2026-04-17 10:20,60.80,EGLC 171020Z AUTO VRB09KT 9999 FEW029 16/08 Q1020
EGLC,2026-04-17 10:50,60.80,EGLC 171050Z AUTO 21011KT 180V250 9999 SCT032 16/08 Q1020
EGLC,2026-04-17 11:20,60.80,EGLC 171120Z AUTO 20011KT 170V230 9999 SCT033 BKN043 16/08 Q1019
EGLC,2026-04-17 11:50,62.60,EGLC 171150Z AUTO 21010KT 150V260 9999 SCT037 SCT044 17/07 Q1019
EGLC,2026-04-17 12:20,62.60,EGLC 171220Z AUTO 21011KT 170V250 9999 BKN041 17/07 Q1019
EGLC,2026-04-17 12:50,62.60,EGLC 171250Z AUTO 22012KT 190V250 9999 BKN043 17/07 Q1019
EGLC,2026-04-17 13:20,64.40,EGLC 171320Z AUTO 22011KT 190V260 9999 BKN046 18/07 Q1019
EGLC,2026-04-17 13:50,62.60,EGLC 171350Z AUTO 22011KT 9999 OVC042 17/07 Q1019
EGLC,2026-04-17 14:20,62.60,EGLC 171420Z AUTO 23011KT 200V260 9999 OVC044 17/06 Q1019
EGLC,2026-04-17 14:50,62.60,EGLC 171450Z AUTO 23012KT 200V260 9999 OVC043 17/07 Q1019
EGLC,2026-04-17 15:20,62.60,EGLC 171520Z AUTO 21011KT 170V240 9999 BKN043 17/07 Q1019
EGLC,2026-04-17 15:50,64.40,EGLC 171550Z AUTO 22010KT 190V250 9999 BKN044 18/07 Q1018
EGLC,2026-04-17 16:20,62.60,EGLC 171620Z AUTO 23009KT 190V270 9999 BKN045 17/06 Q1018
EGLC,2026-04-17 16:50,62.60,EGLC 171650Z AUTO 23011KT 100V250 9999 BKN045 17/07 Q1018
EGLC,2026-04-17 17:20,64.40,EGLC 171720Z AUTO 21011KT 9999 BKN044 18/07 Q1019
EGLC,2026-04-17 17:50,62.60,EGLC 171750Z AUTO 22011KT 9999 NCD 17/07 Q1019
EGLC,2026-04-17 18:20,60.80,EGLC 171820Z AUTO 22009KT 9999 NCD 16/07 Q1019
EGLC,2026-04-17 18:50,59.00,EGLC 171850Z AUTO 22011KT 9999 NCD 15/07 Q1019
EGLC,2026-04-17 19:20,59.00,EGLC 171920Z AUTO 22009KT 180V250 9999 NCD 15/08 Q1019
EGLC,2026-04-17 19:50,57.20,EGLC 171950Z AUTO 22009KT 9999 NCD 14/08 Q1019
