station,valid,metar
LGA,2026-08-03 02:51,KLGA 030251Z 16011G18KT 10SM -RA BKN011 BKN020 OVC100 26/24 A2980 RMK AO2 RAB0153 SLP093 P0000 60000 T02610244 58011 $
LGA,2026-08-03 03:45,KLGA 030345Z 17010KT 8SM -RA SCT009 BKN020 OVC100 26/24 A2979 RMK AO2 P0002 $
LGA,2026-08-03 03:51,KLGA 030351Z 17010G17KT 8SM -RA SCT009 BKN020 OVC100 26/24 A2978 RMK AO2 SLP085 P0002 T02560244 $
LGA,2026-08-03 04:51,KLGA 030451Z 17012G24KT 8SM -RA SCT009 BKN020 OVC100 26/24 A2978 RMK AO2 SLP083 P0000 T02560244 403000244 $
LGA,2026-08-03 05:51,KLGA 030551Z 18013G22KT 10SM SCT009 BKN025 OVC100 26/24 A2976 RMK AO2 RAE14 SLP076 P0001 60003 T02560244 10278 20256 56017 $
LGA,2026-08-03 06:51,KLGA 030651Z 20013G24KT 7SM -RA SCT009 BKN027 OVC110 24/22 A2975 RMK AO2 PK WND 18028/0632 RAB27 SLP074 P0003 T02440222 $
LGA,2026-08-03 07:51,KLGA 030751Z 18011G18KT 10SM SCT009 BKN015 OVC100 25/24 A2973 RMK AO2 RAE09 SLP069 P0014 T02500239 $
LGA,2026-08-03 08:51,KLGA 030851Z 20010KT 4SM R04/4500VP6000FT +RA BR SCT009 BKN021 OVC038 25/24 A2972 RMK AO2 RAB02 SLP063 P0009 60026 T02500239 58013 $
LGA,2026-08-03 09:51,KLGA 030951Z 22010G19KT 4SM -RA BR SCT009 BKN029 OVC045 24/22 A2972 RMK AO2 PK WND 26026/0935 SLP065 P0051 T02390222 $
LGA,2026-08-03 10:17,KLGA 031017Z 21009KT 4SM R04/6000VP6000FT RA BR FEW008 BKN040 BKN075 OVC130 24/23 A2973 RMK AO2 P0013 T02390228 $
LGA,2026-08-03 10:51,KLGA 031051Z 22008KT 4SM RA BR FEW008 BKN035 BKN075 OVC130 23/22 A2974 RMK AO2 SLP072 P0021 T02330222 $
LGA,2026-08-03 11:25,KLGA 031125Z 21008KT 1 1/2SM R04/4000VP6000FT +RA BR FEW008 BKN032 OVC070 23/23 A2976 RMK AO2 SFC VIS 2 P0011 T02330228 $
LGA,2026-08-03 11:32,KLGA 031132Z 21012G17KT 1SM R04/2000VP6000FT +RA BR FEW008 BKN032 OVC055 23/23 A2975 RMK AO2 P0028 T02330228 $
LGA,2026-08-03 11:34,KLGA 031134Z 20010G17KT 1SM R04/2000V4500FT +TSRA BR FEW008 BKN025CB OVC055 23/23 A2975 RMK AO2 TSB33 OCNL LTGIC OHD TS OHD MOV NE P0041 T02330228 $
LGA,2026-08-03 11:40,KLGA 031140Z 19009G17KT 2 1/2SM R04/2200VP6000FT +TSRA BR BKN022CB BKN040 OVC065 23/23 A2974 RMK AO2 TSB33 OCNL LTGIC OHD-N TS OHD-N MOV NE P0064 T02330228 $
LGA,2026-08-03 11:51,KLGA 031151Z 19007KT 5SM -TSRA BR BKN025CB BKN046 BKN090 OVC150 24/23 A2974 RMK AO2 TSB33 SLP070 OCNL LTGIC N-NE TS N-NE MOV NE P0068 60166 70169 T02390228 10256 20233 50007 $
LGA,2026-08-03 12:07,KLGA 031207Z 20010KT 6SM R04/6000VP6000FT -RA BR FEW011 BKN028 BKN055 OVC130 24/23 A2975 RMK AO2 TSE06 P0000 T02390228 $
LGA,2026-08-03 12:23,KLGA 031223Z 20010KT 7SM BKN011 BKN032 BKN049 OVC130 24/23 A2975 RMK AO2 RAE21 TSE06 P0002 T02390233 $
LGA,2026-08-03 12:34,KLGA 031234Z 19009KT 7SM SCT011 BKN015 BKN049 OVC130 24/23 A2975 RMK AO2 RAE21 TSE06 P0002 T02390233 $
LGA,2026-08-03 12:51,KLGA 031251Z 20007KT 7SM SCT011 BKN015 BKN049 OVC130 24/23 A2975 RMK AO2 RAE21 TSE06 SLP073 P0002 T02390233 $
LGA,2026-08-03 13:51,KLGA 031351Z 19010KT 7SM -RA FEW008 BKN013 BKN050 OVC130 26/24 A2974 RMK AO2 RAB44 SLP070 P0000 T02560239 $
LGA,2026-08-03 14:51,KLGA 031451Z 21012KT 5SM RA BR BKN011 BKN025 OVC040 24/22 A2976 RMK AO2 SLP076 P0012 60014 T02390222 53006 $
LGA,2026-08-03 15:02,KLGA 031502Z 21013G18KT 4SM RA BR BKN016 BKN055 OVC110 24/22 A2975 RMK AO2 P0005 T02390222 $
LGA,2026-08-03 15:24,KLGA 031524Z 21011KT 10SM -RA SCT014 BKN050 OVC100 24/22 A2975 RMK AO2 P0009 T02390222 $
LGA,2026-08-03 15:51,KLGA 031551Z 22012KT 10SM -RA SCT015 BKN050 OVC100 24/22 A2975 RMK AO2 SLP073 P0010 T02440222 $
LGA,2026-08-03 16:51,KLGA 031651Z 20012G22KT 10SM BKN016 BKN046 BKN110 25/23 A2974 RMK AO2 RAE44 SLP070 P0000 T02500228 $
LGA,2026-08-03 17:51,KLGA 031751Z 22011KT 10SM BKN015 BKN035 BKN080 OVC150 27/23 A2976 RMK AO2 SLP076 60024 T02670233 10272 20239 55000
LGA,2026-08-03 18:51,KLGA 031851Z 22008KT 10SM -RA BKN015 BKN021 BKN065 BKN150 BKN250 27/24 A2975 RMK AO2 RAB10 SLP074 CB DSNT NW-DSNT N MOV NE P0004 T02670239
LGA,2026-08-03 19:42,KLGA 031942Z 21010KT 10SM SCT025CB BKN050 BKN090 BKN170 BKN250 29/23 A2976 RMK AO2 RAE1852 CB NW-NE MOV SE P0000 T02890228
LGA,2026-08-03 19:51,KLGA 031951Z 20012G19KT 10SM SCT025CB BKN050 BKN090 BKN170 BKN250 29/22 A2976 RMK AO2 RAE1852 SLP077 CB NW-NE MOV SE P0000 T02890222
LGA,2026-08-03 20:51,KLGA 032051Z 24008G16KT 10SM FEW027CB SCT038 SCT060 BKN170 BKN250 29/22 A2976 RMK AO2 SLP079 CB OHD-NE MOV SE 60004 T02890222 53003
LGA,2026-08-03 21:19,KLGA 032119Z 32015KT 10SM FEW040CB SCT050 SCT090 BKN150 BKN250 29/19 A2978 RMK AO2 WSHFT 2101 CB E MOV SE T02890194
LGA,2026-08-03 21:51,KLGA 032151Z 32014KT 10SM FEW040CB SCT050 SCT090 BKN150 BKN250 28/18 A2980 RMK AO2 WSHFT 2101 SLP092 CB E MOV SE T02830183
LGA,2026-08-03 22:51,KLGA 032251Z 32015KT 10SM FEW040 SCT090 SCT150 SCT250 27/17 A2984 RMK AO2 SLP104 CB DSNT SE MOV SE T02720172
LGA,2026-08-03 23:51,KLGA 032351Z COR 32012KT 10SM FEW038 SCT090 SCT150 SCT250 27/17 A2987 RMK AO2 SLP116 CB DSNT SE MOV SE 60004 T02670172 10300 20256 51037
LGA,2026-08-04 00:51,KLGA 040051Z 32016G22KT 10SM FEW031 FEW090 FEW250 26/17 A2991 RMK AO2 SLP128 T02560167
LGA,2026-08-04 01:51,KLGA 040151Z 31012KT 10SM FEW090 FEW250 24/16 A2994 RMK AO2 SLP138 T02440161
LGA,2026-08-04 02:51,KLGA 040251Z 33009KT 10SM FEW250 24/16 A2996 RMK AO2 SLP146 T02390161 51030
LGA,2026-08-04 03:51,KLGA 040351Z 33010KT 10SM FEW250 23/16 A2998 RMK AO2 SLP151 T02330161
LGA,2026-08-04 04:51,KLGA 040451Z COR 34007KT 10SM SCT250 23/16 A2999 RMK AO2 SLP157 T02280161 403000228
LGA,2026-08-04 05:51,KLGA 040551Z 34007KT 10SM SCT250 22/16 A3001 RMK AO2 SLP161 T02220161 10267 20222 52016
LGA,2026-08-04 06:51,KLGA 040651Z 32004KT 10SM FEW250 22/16 A3002 RMK AO2 SLP164 T02220161
LGA,2026-08-04 07:51,KLGA 040751Z 33007KT 10SM FEW250 22/17 A3003 RMK AO2 SLP167 T02170167
LGA,2026-08-04 08:51,KLGA 040851Z 36003KT 10SM BKN250 22/17 A3003 RMK AO2 SLP168 T02170167 51007
LGA,2026-08-04 09:51,KLGA 040951Z 00000KT 10SM BKN250 21/17 A3004 RMK AO2 SLP173 T02110167
LGA,2026-08-04 10:51,KLGA 041051Z 05004KT 10SM BKN250 21/17 A3006 RMK AO2 SLP179 T02110172
LGA,2026-08-04 11:51,KLGA 041151Z 08004KT 10SM BKN250 22/17 A3008 RMK AO2 SLP186 70028 T02220167 10222 20206 53017
LGA,2026-08-04 12:51,KLGA 041251Z 09004KT 10SM FEW180 BKN250 23/17 A3009 RMK AO2 SLP189 T02280172
LGA,2026-08-04 13:51,KLGA 041351Z 05005KT 10SM SCT250 24/18 A3009 RMK AO2 SLP190 T02440178
LGA,2026-08-04 14:51,KLGA 041451Z 05006KT 10SM SCT250 26/16 A3010 RMK AO2 SLP192 T02610161 51006
LGA,2026-08-04 15:51,KLGA 041551Z 05009G18KT 10SM FEW040 FEW180 SCT250 27/15 A3011 RMK AO2 SLP195 T02720150
LGA,2026-08-04 16:51,KLGA 041651Z 04009KT 10SM FEW040 FEW180 SCT250 27/15 A3010 RMK AO2 SLP194 T02720150 $
LGA,2026-08-04 17:51,KLGA 041751Z 05010KT 10SM FEW040 FEW180 SCT250 28/14 A3009 RMK AO2 SLP190 T02830144 10283 20222 58002 $
LGA,2026-08-04 18:51,KLGA 041851Z 04006KT 10SM FEW060 FEW180 BKN250 28/13 A3009 RMK AO2 SLP188 T02830128 $
LGA,2026-08-04 19:19,KLGA 041919Z 16009G15KT 10SM FEW060 FEW180 BKN250 29/14 A3009 RMK AO2 T02890144 $
LGA,2026-08-04 19:51,KLGA 041951Z 18010G17KT 10SM FEW055 FEW180 SCT250 29/14 A3009 RMK AO2 SLP188 T02890139 $
LGA,2026-08-04 20:51,KLGA 042051Z 19007KT 10SM FEW055 SCT250 28/14 A3008 RMK AO2 SLP185 T02780139 58005 $
LGA,2026-08-04 21:51,KLGA 042151Z 19010KT 10SM BKN250 28/14 A3009 RMK AO2 SLP189 T02780139 $
LGA,2026-08-04 22:51,KLGA 042251Z 18009KT 10SM FEW200 SCT250 27/13 A3010 RMK AO2 SLP193 T02720133 $
LGA,2026-08-04 23:51,KLGA 042351Z 18008KT 10SM FEW200 BKN250 26/14 A3011 RMK AO2 SLP195 T02610139 10294 20261 51009 $
LGA,2026-08-05 00:51,KLGA 050051Z 17010KT 10SM FEW200 BKN250 25/14 A3011 RMK AO2 SLP196 T02500144 $
LGA,2026-08-05 01:51,KLGA 050151Z 17005KT 10SM FEW200 BKN250 24/16 A3012 RMK AO2 SLP198 T02440156 $
LGA,2026-08-05 02:51,KLGA 050251Z 19006KT 10SM SCT250 24/16 A3011 RMK AO2 SLP197 T02440156 50002 $
LGA,2026-08-05 03:51,KLGA 050351Z 18004KT 10SM SCT200 SCT250 24/16 A3011 RMK AO2 SLP197 T02390156 $
LGA,2026-08-05 04:51,KLGA 050451Z 16003KT 10SM FEW200 BKN250 24/16 A3010 RMK AO2 SLP194 T02390161 402940206 $
LGA,2026-08-05 05:51,KLGA 050551Z 24003KT 10SM FEW200 BKN250 24/17 A3012 RMK AO2 SLP198 T02390167 10261 20233 53001 $
LGA,2026-08-05 06:51,KLGA 050651Z 21004KT 10SM FEW200 BKN250 24/16 A3012 RMK AO2 SLP200 T02390161 $
LGA,2026-08-05 07:51,KLGA 050751Z 00000KT 10SM FEW200 BKN250 23/17 A3012 RMK AO2 SLP200 T02330167 $
LGA,2026-08-05 08:51,KLGA 050851Z 00000KT 10SM FEW200 SCT250 23/17 A3012 RMK AO2 SLP200 T02330172 51003 $
LGA,2026-08-05 09:51,KLGA 050951Z 05003KT 10SM BKN230 23/18 A3013 RMK AO2 SLP203 T02280183 $
LGA,2026-08-05 10:51,KLGA 051051Z 05004KT 10SM FEW050 SCT180 BKN230 23/19 A3014 RMK AO2 SLP206 T02280189 $
LGA,2026-08-05 11:51,KLGA 051151Z 06006KT 10SM FEW055 FEW180 BKN230 23/19 A3015 RMK AO2 SLP210 T02330189 10239 20222 53009 $
LGA,2026-08-05 12:51,KLGA 051251Z 04006KT 10SM FEW050 FEW180 BKN220 23/18 A3017 RMK AO2 SLP215 T02330183 $
LGA,2026-08-05 13:51,KLGA 051351Z 04006KT 10SM FEW050 FEW180 BKN230 26/18 A3016 RMK AO2 SLP213 T02560178 $
LGA,2026-08-05 14:51,KLGA 051451Z 06005KT 10SM BKN050 BKN230 27/17 A3017 RMK AO2 SLP215 T02670167 51005 $
LGA,2026-08-05 15:51,KLGA 051551Z 04006KT 10SM BKN050 BKN230 28/17 A3016 RMK AO2 SLP212 T02780167 $
LGA,2026-08-05 16:51,KLGA 051651Z 14005KT 10SM BKN050 BKN230 29/17 A3014 RMK AO2 SLP207 T02890167 $
LGA,2026-08-05 17:51,KLGA 051751Z 14007KT 10SM SCT045 BKN055 BKN250 29/18 A3013 RMK AO2 SLP203 T02890183 10294 20228 58012 $
LGA,2026-08-05 18:51,KLGA 051851Z 16010KT 10SM FEW015 BKN033 BKN055 BKN250 28/21 A3013 RMK AO2 SLP203 T02830206 $
LGA,2026-08-05 19:51,KLGA 051951Z 19010KT 10SM SCT022 BKN027 BKN080 BKN250 27/22 A3012 RMK AO2 SLP200 T02720222 $
LGA,2026-08-05 20:51,KLGA 052051Z 15006KT 10SM SCT016 SCT021 BKN065 BKN250 27/23 A3011 RMK AO2 RAB1955E19 SLP195 P0000 60000 T02720228 58007 $
LGA,2026-08-05 21:26,KLGA 052126Z 13009G15KT 10SM BKN016 BKN022 BKN045 BKN250 27/23 A3011 RMK AO2 T02670228 $
LGA,2026-08-05 21:51,KLGA 052151Z 12008KT 10SM BKN018 BKN024 BKN045 BKN250 27/23 A3011 RMK AO2 SLP195 VCSH SW T02670228 $
LGA,2026-08-05 22:51,KLGA 052251Z 12007G15KT 10SM SCT013 BKN019 OVC032 26/23 A3009 RMK AO2 RAB2156E34 SLP190 P0000 T02610233 $
LGA,2026-08-05 23:13,KLGA 052313Z 13010G17KT 10SM BKN013 OVC018 27/24 A3009 RMK AO2 T02670239 $
LGA,2026-08-05 23:51,KLGA 052351Z 15009G17KT 080V180 10SM BKN011 OVC019 27/24 A3009 RMK AO2 SLP190 60000 T02670239 10294 20261 57005 $
LGA,2026-08-06 00:51,KLGA 060051Z 17010G17KT 10SM OVC013 26/24 A3010 RMK AO2 SLP192 T02610239 $
LGA,2026-08-06 01:51,KLGA 060151Z 16011KT 10SM BKN009 OVC013 26/24 A3011 RMK AO2 RAB07E17 SLP195 P0000 T02610239 $
LGA,2026-08-06 02:51,KLGA 060251Z 18009KT 10SM -RA OVC009 26/24 A3010 RMK AO2 RAB50 SLP194 P0000 60000 T02610239 50003 $
LGA,2026-08-06 03:51,KLGA 060351Z 17006KT 10SM BKN009 OVC034 26/24 A3010 RMK AO2 RAE01B23E33 SLP191 P0000 T02560244 $
LGA,2026-08-06 04:21,KLGA 060421Z 19005KT 10SM SCT009 SCT034 BKN200 26/24 A3010 RMK AO2 FRQ LTGIC DSNT W-NW CB DSNT W-NW MOV NE T02560239 $
LGA,2026-08-06 04:51,KLGA 060451Z 19005KT 10SM FEW009 FEW041 SCT050 BKN200 26/24 A3010 RMK AO2 SLP194 FRQ LTGIC DSNT NW CB DSNT NW MOV NE T02560239 402940222 $
LGA,2026-08-06 05:51,KLGA 060551Z 20007KT 10SM SCT015 BKN039 BKN075 BKN200 26/24 A3010 RMK AO2 SLP192 60000 T02610239 10278 20256 56001 $
LGA,2026-08-06 06:51,KLGA 060651Z 21008KT 10SM SCT016 BKN060 OVC095 26/24 A3009 RMK AO2 RAB24E46 SLP188 P0002 T02560244 $
LGA,2026-08-06 07:51,KLGA 060751Z 20005KT 10SM FEW010 FEW250 26/24 A3008 RMK AO2 RAB00E10 SLP185 P0000 T02560244 $
LGA,2026-08-06 08:33,KLGA 060833Z 21006KT 10SM BKN018 26/24 A3008 RMK AO2 T02560244 $
LGA,2026-08-06 08:51,KLGA 060851Z 21006KT 10SM BKN015 26/24 A3008 RMK AO2 SLP187 60002 T02560244 55006 $
LGA,2026-08-06 09:51,KLGA 060951Z 22007KT 10SM BKN015 BKN200 26/24 A3009 RMK AO2 SLP189 T02610244 $
LGA,2026-08-06 10:42,KLGA 061042Z 23006KT 10SM FEW008 SCT015 SCT200 26/24 A3009 RMK AO2 T02610239 $
LGA,2026-08-06 10:51,KLGA 061051Z 21006KT 10SM FEW008 SCT015 SCT200 26/24 A3010 RMK AO2 SLP191 T02610239 $
LGA,2026-08-06 11:43,KLGA 061143Z 22007KT 10SM BKN013 BKN021 BKN200 27/24 A3011 RMK AO2 T02670239 $
LGA,2026-08-06 11:51,KLGA 061151Z 22007KT 10SM FEW008 BKN013 BKN021 BKN200 27/24 A3011 RMK AO2 SLP196 60002 70002 T02670239 10267 20256 51007 $
LGA,2026-08-06 12:51,KLGA 061251Z 22007KT 10SM FEW008 BKN015 BKN021 BKN200 28/24 A3012 RMK AO2 SLP198 T02780239 $
LGA,2026-08-06 13:51,KLGA 061351Z 27006KT 10SM FEW011 BKN018 BKN028 BKN220 28/24 A3012 RMK AO2 SLP199 T02830239 $
LGA,2026-08-06 14:45,KLGA 061445Z 23006KT 10SM SCT022 BKN045 BKN200 29/24 A3012 RMK AO2 $
LGA,2026-08-06 14:51,KLGA 061451Z 23007KT 10SM SCT022 BKN045 BKN200 29/24 A3012 RMK AO2 SLP199 T02940239 50003 $
LGA,2026-08-06 14:55,KLGA 061455Z 23006KT 10SM BKN022 BKN029 BKN200 29/24 A3012 RMK AO2 T02940239 $
LGA,2026-08-06 15:48,KLGA 061548Z 24009G18KT 10SM SCT022 SCT050 BKN200 30/23 A3011 RMK AO2 $
LGA,2026-08-06 15:51,KLGA 061551Z 24009KT 10SM SCT022 SCT050 BKN200 31/23 A3011 RMK AO2 SLP195 T03060233 $
LGA,2026-08-06 16:51,KLGA 061651Z 23008G17KT 10SM SCT025 BKN035 BKN070 BKN200 31/23 A3010 RMK AO2 SLP192 TCU DSNT N T03110233 $
LGA,2026-08-06 17:51,KLGA 061751Z 21006KT SCT035 BKN042TCU BKN070 BKN200 32/24 A3009 RMK AO2 SLP188 TCU N-NE T03170239 10322 20267 56010 $
LGA,2026-08-06 18:51,KLGA 061851Z 19011KT 9SM -RA SCT037CB SCT075 BKN095 BKN250 31/25 A3008 RMK AO2 RAB47 SLP187 CB OHD-NW MOV E TCU DSNT NE P0000 T03060250 $
LGA,2026-08-06 19:51,KLGA 061951Z 16010KT 10SM FEW026 SCT050 SCT100 BKN250 31/24 A3007 RMK AO2 RAE35 SLP182 TCU DSNT N AND DSNT S P0000 T03110239
LGA,2026-08-06 20:51,KLGA 062051Z 17009KT 10SM FEW030TCU SCT070 SCT100 31/24 A3006 RMK AO2 SLP181 TCU OHD AND DSNT NW 60000 T03060244 56008
LGA,2026-08-06 21:51,KLGA 062151Z 16008KT 10SM FEW035 BKN065 BKN100 32/24 A3006 RMK AO2 SLP178 TCU DSNT S T03220244
LGA,2026-08-06 22:51,KLGA 062251Z 13007KT 10SM FEW035 SCT065 32/24 A3005 RMK AO2 SLP175 TCU DSNT N T03220239
LGA,2026-08-06 23:51,KLGA 062351Z 16010KT 10SM SCT047 BKN060 BKN200 31/24 A3005 RMK AO2 SLP175 CB DSNT N 60000 T03060239 10328 20306 56006
